"","ID","participant","both_high","both_low","diff"
"1","sub-003","sub-003",0.533333333333333,0.525641025641026,0.00769230769230766
"2","sub-004","sub-004",0.588888888888889,0.4,0.188888888888889
"3","sub-005","sub-005",0.528089887640449,0.588888888888889,-0.0607990012484395
"4","sub-006","sub-006",0.655555555555556,0.433333333333333,0.222222222222222
"5","sub-007","sub-007",0.588888888888889,0.4,0.188888888888889
"6","sub-008","sub-008",0.566666666666667,0.455555555555556,0.111111111111111
"7","sub-009","sub-009",0.415584415584416,0.448717948717949,-0.0331335331335331
"8","sub-010","sub-010",0.555555555555556,0.433333333333333,0.122222222222222
"9","sub-013","sub-013",0.511111111111111,0.522222222222222,-0.0111111111111112
"10","sub-014","sub-014",0.511111111111111,0.5,0.0111111111111111
"11","sub-015","sub-015",0.533333333333333,0.422222222222222,0.111111111111111
"12","sub-017","sub-017",0.444444444444444,0.455555555555556,-0.0111111111111111
"13","sub-018","sub-018",0.550561797752809,0.224719101123595,0.325842696629214
"14","sub-019","sub-019",0.444444444444444,0.544444444444444,-0.1
"15","sub-021","sub-021",0.444444444444444,0.577777777777778,-0.133333333333333
"16","sub-022","sub-022",0.555555555555556,0.488888888888889,0.0666666666666667
"17","sub-023","sub-023",0.677777777777778,0.411111111111111,0.266666666666667
"18","sub-024","sub-024",0.411111111111111,0.522222222222222,-0.111111111111111
"19","sub-025","sub-025",0.488888888888889,0.522222222222222,-0.0333333333333334
"20","sub-026","sub-026",0.355555555555556,0.522222222222222,-0.166666666666667
"21","sub-027","sub-027",0.49438202247191,0.465909090909091,0.0284729315628192
"22","sub-028","sub-028",0.522222222222222,0.533333333333333,-0.0111111111111111
"23","sub-029","sub-029",0.468354430379747,0.505882352941176,-0.0375279225614296
"24","sub-030","sub-030",0.411111111111111,0.488888888888889,-0.0777777777777778
"25","sub-031","sub-031",0.555555555555556,0.488888888888889,0.0666666666666667
"26","sub-032","sub-032",0.722222222222222,0.522222222222222,0.2
"27","sub-033","sub-033",0.522222222222222,0.488888888888889,0.0333333333333334
"28","sub-034","sub-034",0.544444444444444,0.48314606741573,0.061298377028714
"29","sub-035","sub-035",0.677777777777778,0.422222222222222,0.255555555555556
"30","sub-036","sub-036",0.511111111111111,0.488888888888889,0.0222222222222222
"31","sub-037","sub-037",0.544444444444444,0.488888888888889,0.0555555555555555
